latitude,longitude,stn_name
1.276311144,103.854605,MARINA BAY MRT STATION
1.27460411,103.8634618,MARINA SOUTH MRT STATION
1.271027036,103.8624475,MARINA SOUTH PIER MRT STATION
1.302630145,103.9049619,MARINE PARADE MRT STATION
1.306762679,103.9152325,MARINE TERRACE MRT STATION
1.432521148,103.7740746,MARSILING MRT STATION
1.348707263,103.8394231,MARYMOUNT MRT STATION
1.326876715,103.8832475,MATTAR MRT STATION
1.280531586,103.8438476,MAXWELL MRT STATION
1.371463188,103.8365678,MAYFLOWER MRT STATION
1.328517954,103.8346883,MOUNT PLEASANT MRT STATION
1.306201905,103.8825281,MOUNTBATTEN MRT STATION
1.306783078,103.818967,NAPIER MRT STATION
1.3123201,103.8379853,NEWTON MRT STATION
1.299766835,103.863637,NICOLL HIGHWAY MRT STATION
1.320440791,103.8438256,NOVENA MRT STATION
1.299759879,103.7874575,ONE-NORTH MRT STATION
1.302422248,103.8238685,ORCHARD BOULEVARD MRT STATION
1.303981013,103.8322415,ORCHARD MRT STATION
1.279739707,103.8395135,OUTRAM PARK MRT STATION
1.276213523,103.7913503,PASIR PANJANG MRT STATION
1.373043212,103.9492846,PASIR RIS MRT STATION
1.317247386,103.8922608,PAYA LEBAR MRT STATION
1.337586882,103.6973215,PIONEER MRT STATION
1.331379525,103.8690557,POTONG PASIR MRT STATION
1.292891754,103.8608918,PROMENADE MRT STATION
1.404546728,103.9020726,PUNGGOL MRT STATION
1.294550852,103.8060772,QUEENSTOWN MRT STATION
1.284125611,103.8514617,RAFFLES PLACE MRT STATION
1.289634533,103.816741,REDHILL MRT STATION
1.303852185,103.8527694,ROCHOR MRT STATION
1.449050821,103.8200461,SEMBAWANG MRT STATION
1.391694626,103.8954847,SENGKANG MRT STATION
1.350633615,103.8727717,SERANGOON MRT STATION
1.27773022,103.8504057,SHENTON WAY MRT STATION
1.309994844,103.930297,SIGLAP MRT STATION
1.343202895,103.9533717,SIMEI MRT STATION
1.330857645,103.7969068,SIXTH AVENUE MRT STATION
1.300252877,103.8391583,SOMERSET MRT STATION
1.397577907,103.8177995,SPRINGLEAF MRT STATION
1.302812469,103.8753377,STADIUM MRT STATION
1.320065558,103.8260244,STEVENS MRT STATION
1.320398759,103.957242,SUNGEI BEDOK MRT STATION
1.335102085,103.888433,TAI SENG MRT STATION
1.356191483,103.9546345,TAMPINES EAST MRT STATION
1.353301533,103.9451447,TAMPINES MRT STATION
1.345515305,103.938437,TAMPINES WEST MRT STATION
1.325556235,103.8077603,TAN KAH KEE MRT STATION
1.327187135,103.9463465,TANAH MERAH MRT STATION
1.299254413,103.8973771,TANJONG KATONG MRT STATION
1.276604487,103.8459522,TANJONG PAGAR MRT STATION
1.297218218,103.8734884,TANJONG RHU MRT STATION
1.282068948,103.8486488,TELOK AYER MRT STATION
1.270706478,103.8097616,TELOK BLANGAH MRT STATION
1.286194579,103.8269989,TIONG BAHRU MRT STATION
1.332628987,103.8475018,TOA PAYOH MRT STATION
1.321026553,103.6490755,TUAS CRESCENT MRT STATION
1.340866096,103.6369856,TUAS LINK MRT STATION
1.329989089,103.6396141,TUAS WEST ROAD MRT STATION
1.329974629,103.8992267,UBI MRT STATION
1.341737484,103.9614718,UPPER CHANGI MRT STATION
1.354416434,103.8328985,UPPER THOMSON MRT STATION
1.436968247,103.7864625,WOODLANDS MRT STATION
1.44746541,103.7865007,WOODLANDS NORTH MRT STATION
1.427433416,103.7932446,WOODLANDS SOUTH MRT STATION
1.339190046,103.8708183,WOODLEIGH MRT STATION
1.328899141,103.9652185,XILIN MRT STATION
1.397535018,103.7474051,YEW TEE MRT STATION
1.381756046,103.8449473,YIO CHU KANG MRT STATION
1.429443081,103.835005,YISHUN MRT STATION
1.387992934,103.905414,BAKAU LRT STATION
1.38002223,103.7726474,BANGKIT LRT STATION
1.377926129,103.763103,BUKIT PANJANG LRT STATION
1.396277631,103.8937972,CHENG LIM LRT STATION
1.384755411,103.7445377,CHOA CHU KANG LRT STATION
1.394493046,103.9004925,COMPASSVALE LRT STATION
1.393909226,103.9125809,CORAL EDGE LRT STATION
1.399281985,103.9059619,COVE LRT STATION
1.405234836,103.9086035,DAMAI LRT STATION
1.384520797,103.7708086,FAJAR LRT STATION
1.397170196,103.8893048,FARMWAY LRT STATION
1.391885888,103.8763086,FERNVALE LRT STATION
1.386703025,103.7645033,JELAPANG LRT STATION
1.399509113,103.916575,KADALOOR LRT STATION
1.383959115,103.9022254,KANGKAR LRT STATION
1.378602766,103.7490555,KEAT HONG LRT STATION
1.398212828,103.8812562,KUPANG LRT STATION
1.392079839,103.8800296,LAYAR LRT STATION
1.396912053,103.9089502,MERIDIAN LRT STATION
1.411870458,103.9003138,NIBONG LRT STATION
1.402286677,103.9127274,OASIS LRT STATION
1.376135744,103.7712612,PENDING LRT STATION
1.377750334,103.766669,PETIR LRT STATION
1.378618844,103.7580341,PHOENIX LRT STATION
1.405194701,103.9024119,PUNGGOL LRT STATION
1.416848521,103.9066508,PUNGGOL POINT LRT STATION
1.384233561,103.8971947,RANGGUNG LRT STATION
1.386723922,103.8905394,RENJONG LRT STATION
1.394524496,103.9161661,RIVIERA LRT STATION
1.391468497,103.9059736,RUMBIA LRT STATION
1.409612685,103.9048316,SAM KEE LRT STATION
1.415901719,103.9021563,SAMUDERA LRT STATION
1.387772131,103.7695984,SEGAR LRT STATION
1.391609364,103.8954426,SENGKANG LRT STATION
1.382692296,103.7623672,SENJA LRT STATION
1.405088585,103.8972097,SOO TECK LRT STATION
1.380298287,103.7452918,SOUTH VIEW LRT STATION
1.408452426,103.8985585,SUMANG LRT STATION
1.412770894,103.9065776,TECK LEE LRT STATION
1.376684679,103.7537122,TECK WHYE LRT STATION
1.397318156,103.8756352,THANGGAM LRT STATION
1.389347954,103.8858442,TONGKANG LRT STATION
